Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly
12,Nancy,Allen,37,Female,Address_12,Oklahoma City,19458794865,nancy.allen@kag.com,Current,8126.85,13-09-2005,16-10-2023,12,04-04-2023,Deposit,4865.91,12992.76,25,12,9182.1,Auto,5.73,48,29-07-2020,Approved,12,AMEX,5697.31,4935.07,246.75,17-11-2023,28-12-2023,3488,12,24-08-2023,Complaint,Pending,03-05-2023,1
13,Margaret,Robinson,63,Female,Address_13,Columbus,19458794866,margaret.robinson@kag.com,Savings,5402.04,13-11-2010,21-11-2023,13,02-12-2023,Deposit,3070.58,8472.62,94,13,45385.59,Auto,6.96,36,20-09-2021,Approved,13,Visa,5776.68,339.59,16.98,17-07-2023,13-01-2023,2102,13,22-02-2023,Praise,Resolved,13-01-2023,1
14,Michelle,Taylor,48,Female,Address_14,Colorado Springs,19458794867,michelle.taylor@kag.com,Savings,4045.09,14-08-2014,29-12-2023,14,27-10-2023,Transfer,381.21,4426.3,30,14,32735.99,Auto,7.71,48,21-12-2022,Approved,14,Visa,3018.46,4357.95,217.9,28-05-2023,29-09-2023,4833,14,16-11-2023,Praise,Resolved,05-05-2023,1
15,Nancy,Nelson,51,Other,Address_15,Atlanta,19458794868,nancy.nelson@kag.com,Savings,2082.67,16-09-2015,24-06-2023,15,13-06-2023,Withdrawal,2631.77,-549.1,77,15,9833.19,Mortgage,3.7,36,06-12-2022,Closed,15,AMEX,2345.93,1066.61,53.33,28-12-2023,23-05-2023,4769,15,26-10-2023,Suggestion,Pending,23-09-2023,1
16,Michael,Young,29,Male,Address_16,Fresno,19458794869,michael.young@kag.com,Savings,8578.44,02-10-2016,20-12-2023,16,23-10-2023,Transfer,4486.73,13065.17,31,16,28429.81,Mortgage,3.68,24,11-12-2021,Approved,16,Visa,2673.1,770.74,38.54,02-02-2023,03-01-2023,7000,16,25-11-2023,Complaint,Pending,23-05-2023,1
17,Lisa,Adams,65,Female,Address_17,Austin,19458794870,lisa.adams@kag.com,Current,728.8,07-07-2006,18-12-2023,17,15-11-2023,Transfer,2086.75,2815.55,96,17,17080.03,Auto,3.38,36,15-12-2022,Rejected,17,AMEX,2838.82,3905.1,195.26,20-04-2023,19-10-2023,2437,17,31-05-2023,Suggestion,Pending,01-05-2023,1
18,Mary,Wilson,45,Female,Address_18,Omaha,19458794871,mary.wilson@kag.com,Savings,9012.31,12-08-2019,30-03-2023,18,12-09-2023,Deposit,3333.99,5678.32,36,18,8211.92,Auto,2.51,12,23-02-2022,Closed,18,MasterCard,8388.99,3165.21,158.26,10-08-2023,12-11-2023,5109,18,23-02-2023,Praise,Resolved,03-06-2023,1
19,Nancy,Martinez,20,Other,Address_19,Tucson,19458794872,nancy.martinez@kag.com,Current,2129.63,18-08-2005,28-02-2023,19,15-11-2023,Withdrawal,3868.23,-1738.6,41,19,9911.6,Personal,3.74,12,05-06-2022,Rejected,19,AMEX,9371.27,299.03,14.95,12-05-2023,10-09-2023,8681,19,19-07-2023,Praise,Resolved,07-03-2023,1
20,Amanda,Campbell,65,Other,Address_20,Milwaukee,19458794873,amanda.campbell@kag.com,Savings,194.36,24-04-2017,02-03-2023,20,30-09-2023,Deposit,933.29,-738.93,61,20,28403.6,Mortgage,9.58,48,27-01-2021,Closed,20,MasterCard,7650.68,1076.46,53.82,24-05-2023,21-01-2023,3441,20,22-04-2023,Praise,Pending,04-10-2023,1
21,Ashley,Scott,59,Other,Address_21,Fresno,19458794874,ashley.scott@kag.com,Savings,1128.58,29-10-2016,30-08-2023,21,07-02-2023,Withdrawal,4278.95,-3150.37,29,21,28654.88,Personal,1.77,12,26-07-2020,Closed,21,MasterCard,1374.25,3559.98,178,31-01-2023,31-08-2023,1213,21,20-11-2023,Complaint,Pending,07-09-2023,1
23,Mary,Rodriguez,22,Other,Address_23,El Paso,19458794876,mary.rodriguez@kag.com,Savings,829.7,02-09-2011,13-08-2023,23,06-07-2023,Deposit,292.88,536.82,19,23,13151.23,Mortgage,3.86,60,20-02-2022,Closed,23,Visa,8026.74,1424.94,71.25,17-11-2023,17-03-2023,1533,23,20-02-2023,Complaint,Resolved,04-10-2023,1
24,Charles,Adams,30,Female,Address_24,San Antonio,19458794877,charles.adams@kag.com,Savings,3616.88,07-10-2014,10-08-2023,24,25-01-2023,Deposit,4395.73,8012.61,90,24,45875.84,Personal,2.38,60,07-03-2022,Rejected,24,AMEX,5693.7,2256.35,112.82,07-05-2023,03-06-2023,6245,24,04-10-2023,Suggestion,Resolved,10-12-2023,1
25,Steven,Ramirez,29,Male,Address_25,Boston,19458794878,steven.ramirez@kag.com,Savings,2578.13,04-06-2004,31-03-2023,25,29-11-2023,Transfer,2826.12,5404.25,5,25,26412.03,Mortgage,1.7,48,18-05-2020,Rejected,25,AMEX,1720.05,4563.01,228.15,29-05-2023,18-11-2023,6588,25,22-01-2023,Praise,Resolved,01-03-2023,1
26,Barbara,Hernandez,18,Female,Address_26,Chicago,19458794879,barbara.hernandez@kag.com,Current,464.86,01-10-2022,15-01-2023,26,22-05-2023,Transfer,999.63,1464.49,20,26,11004.46,Personal,2.46,48,03-11-2022,Approved,26,Visa,5608.25,4251.87,212.59,05-06-2023,08-11-2023,5749,26,17-02-2023,Complaint,Pending,14-04-2023,1
27,Lisa,Wilson,69,Male,Address_27,Kansas City,19458794880,lisa.wilson@kag.com,Savings,5361.52,27-07-2006,31-12-2023,27,04-05-2023,Withdrawal,1594.08,3767.44,78,27,21250.75,Personal,5.75,48,19-04-2021,Approved,27,AMEX,6736.21,1084.56,54.23,21-01-2023,04-07-2023,1470,27,15-12-2023,Suggestion,Pending,20-08-2023,1
28,Amanda,Hill,60,Female,Address_28,Oklahoma City,19458794881,amanda.hill@kag.com,Savings,9983.5,10-08-2018,04-07-2023,28,25-01-2023,Deposit,2851.17,12834.67,29,28,46244.6,Mortgage,6.37,36,23-10-2022,Approved,28,AMEX,6126.15,1530.42,76.52,16-11-2023,31-07-2023,2965,28,21-12-2023,Complaint,Pending,23-02-2023,1
29,Matthew,Campbell,36,Male,Address_29,Fresno,19458794882,matthew.campbell@kag.com,Savings,8544.77,12-11-2000,23-07-2023,29,18-10-2023,Transfer,1877.13,6667.64,3,29,24429.67,Auto,2.94,12,20-02-2022,Rejected,29,AMEX,7494.66,2591.92,129.6,20-09-2023,06-06-2023,2963,29,23-01-2023,Suggestion,Pending,10-06-2023,1
30,Ronald,Jackson,46,Female,Address_30,Baltimore,19458794883,ronald.jackson@kag.com,Current,1772.04,12-02-2015,10-02-2023,30,01-12-2023,Withdrawal,1174.58,597.46,84,30,43861.04,Auto,5.53,36,23-02-2022,Closed,30,Visa,3404.77,2181.1,109.06,18-02-2023,14-12-2023,8656,30,06-01-2023,Suggestion,Resolved,12-09-2023,1
31,Anthony,Anderson,64,Female,Address_31,San Francisco,19458794884,anthony.anderson@kag.com,Current,8854.73,15-09-2004,20-06-2023,31,24-06-2023,Withdrawal,2401.76,11256.49,25,31,8831.8,Auto,1.06,36,21-12-2021,Approved,31,AMEX,7278.03,3846.45,192.32,27-05-2023,11-06-2023,3298,31,12-05-2023,Praise,Pending,05-06-2023,1
32,Carol,Ramirez,67,Female,Address_32,Jacksonville,19458794885,carol.ramirez@kag.com,Current,4572.76,04-05-2010,25-09-2023,32,20-08-2023,Transfer,933.38,5506.14,69,32,45783.96,Auto,6.42,36,15-05-2022,Closed,32,Visa,3997.31,4756.24,237.81,03-01-2023,27-02-2023,6208,32,16-08-2023,Praise,Resolved,25-08-2023,1
33,Betty,White,65,Female,Address_33,Sacramento,19458794886,betty.white@kag.com,Current,2805.18,30-07-2003,15-07-2023,33,25-05-2023,Deposit,1234.44,1570.74,55,33,22100.32,Mortgage,1.01,60,21-08-2021,Closed,33,MasterCard,7417.07,3107.77,155.39,27-03-2023,22-10-2023,2387,33,09-05-2023,Complaint,Resolved,25-07-2023,1
34,Jessica,Davis,56,Other,Address_34,Oklahoma City,19458794887,jessica.davis@kag.com,Savings,6439.03,23-08-2005,07-09-2023,34,11-12-2023,Transfer,4135.4,10574.43,56,34,46870.22,Personal,6.78,60,02-09-2020,Rejected,34,Visa,5395.87,560.7,28.04,23-09-2023,11-05-2023,4561,34,22-07-2023,Complaint,Resolved,11-02-2023,1
35,Joseph,Nelson,59,Female,Address_35,Seattle,19458794888,joseph.nelson@kag.com,Current,2245.28,05-01-2002,14-07-2023,35,23-01-2023,Transfer,1150.42,3395.7,29,35,43437.85,Mortgage,5.35,36,10-03-2022,Closed,35,AMEX,8046.16,2208.16,110.41,30-07-2023,04-09-2023,2971,35,26-06-2023,Praise,Resolved,29-01-2023,1
36,Timothy,Rodriguez,42,Female,Address_36,Portland,19458794889,timothy.rodriguez@kag.com,Current,8808.55,08-07-2009,18-08-2023,36,12-08-2023,Withdrawal,3479.88,12288.43,41,36,33338.35,Mortgage,1.98,24,10-02-2021,Rejected,36,Visa,5522.52,2735.81,136.79,31-05-2023,18-10-2023,6543,36,17-01-2023,Complaint,Pending,14-11-2023,1
37,Amanda,Campbell,33,Other,Address_37,Mesa,19458794890,amanda.campbell@kag.com,Current,6279.42,28-07-2008,06-04-2023,37,02-05-2023,Withdrawal,1259.84,5019.58,2,37,33969.47,Mortgage,1.8,36,25-07-2022,Rejected,37,MasterCard,3589.1,4775.86,238.79,09-03-2023,13-03-2023,443,37,31-10-2023,Suggestion,Resolved,03-01-2023,1
38,Michael,Allen,34,Other,Address_38,El Paso,19458794891,michael.allen@kag.com,Current,1446.62,16-05-2002,06-08-2023,38,11-08-2023,Withdrawal,1069.87,2516.49,6,38,11363.89,Personal,1.06,24,08-04-2021,Rejected,38,AMEX,9908.09,1725.59,86.28,30-07-2023,10-12-2023,440,38,26-02-2023,Praise,Resolved,03-06-2023,1
39,Paul,Allen,45,Other,Address_39,Albuquerque,19458794892,paul.allen@kag.com,Savings,5749.42,20-07-2008,04-01-2023,39,18-08-2023,Transfer,1263.27,4486.15,59,39,30538.66,Auto,5.96,24,25-10-2020,Rejected,39,AMEX,3179.12,3347.7,167.38,20-02-2023,30-01-2023,9290,39,28-11-2023,Praise,Resolved,24-01-2023,1
40,John,Jackson,56,Other,Address_40,Jacksonville,19458794893,john.jackson@kag.com,Savings,5152.67,13-01-2020,05-01-2023,40,17-01-2023,Withdrawal,2346.81,2805.86,65,40,27925.28,Mortgage,8.26,12,16-12-2022,Rejected,40,MasterCard,4623.6,56.38,2.82,28-05-2023,21-03-2023,526,40,29-04-2023,Praise,Resolved,14-01-2023,1
41,Charles,Williams,60,Other,Address_41,Austin,19458794894,charles.williams@kag.com,Current,4767.41,13-08-2018,15-02-2023,41,12-10-2023,Transfer,739.94,4027.47,31,41,17373.2,Mortgage,8.71,48,04-11-2021,Rejected,41,Visa,7976.79,2183.5,109.18,24-02-2023,24-11-2023,1841,41,30-05-2023,Complaint,Pending,16-03-2023,1
42,David,Martinez,66,Other,Address_42,Kansas City,19458794895,david.martinez@kag.com,Current,3713.26,29-10-2015,27-11-2023,42,02-01-2023,Transfer,542,3171.26,91,42,25775.45,Personal,6.12,36,13-10-2022,Closed,42,MasterCard,5660.53,202.41,10.12,23-01-2023,20-10-2023,6292,42,24-05-2023,Complaint,Pending,09-03-2023,1
43,Joshua,Flores,22,Other,Address_43,Philadelphia,19458794896,joshua.flores@kag.com,Current,4794.63,23-06-2006,06-05-2023,43,24-09-2023,Withdrawal,3786.14,1008.49,46,43,46528.03,Personal,8.98,36,20-02-2020,Approved,43,AMEX,7147.73,1185.11,59.26,12-12-2023,20-03-2023,2095,43,26-05-2023,Praise,Resolved,19-11-2023,1
44,Karen,Campbell,18,Other,Address_44,Fresno,19458794897,karen.campbell@kag.com,Current,5901.51,21-03-2010,17-05-2023,44,16-01-2023,Transfer,126.28,5775.23,60,44,1259.98,Mortgage,8.76,36,14-05-2020,Approved,44,MasterCard,5391.71,2346.46,117.32,25-08-2023,09-01-2023,2285,44,14-11-2023,Complaint,Resolved,18-08-2023,1
45,Patricia,Adams,20,Other,Address_45,Mesa,19458794898,patricia.adams@kag.com,Savings,7362.34,03-05-2001,16-05-2023,45,03-12-2023,Withdrawal,1933.57,5428.77,46,45,21439.08,Personal,7.28,48,26-09-2022,Approved,45,AMEX,6494.58,2906.73,145.34,22-05-2023,15-06-2023,7103,45,28-12-2023,Praise,Resolved,06-07-2023,1
46,Matthew,Smith,65,Other,Address_46,Atlanta,19458794899,matthew.smith@kag.com,Savings,9186.97,02-06-2005,10-11-2023,46,21-01-2023,Transfer,1986.21,7200.76,19,46,17348.3,Mortgage,4.27,24,09-05-2020,Closed,46,AMEX,5610.23,4383.34,219.17,12-07-2023,06-06-2023,4173,46,12-04-2023,Praise,Pending,31-08-2023,1
47,Susan,Lewis,41,Other,Address_47,San Francisco,19458794900,susan.lewis@kag.com,Current,539.4,11-12-2005,25-12-2023,47,08-09-2023,Transfer,4466.28,-3926.88,1,47,48100.32,Mortgage,8.44,36,05-11-2021,Closed,47,MasterCard,9925.21,924.02,46.2,19-01-2023,23-10-2023,722,47,21-08-2023,Suggestion,Resolved,01-01-2023,1
48,Stephanie,Roberts,46,Male,Address_48,Omaha,19458794901,stephanie.roberts@kag.com,Current,5736.51,20-06-2012,15-11-2023,48,04-10-2023,Withdrawal,3874.71,9611.22,95,48,48720.82,Mortgage,4.53,36,17-02-2020,Rejected,48,MasterCard,2867.41,1543.14,77.16,27-01-2023,23-06-2023,5615,48,29-12-2023,Suggestion,Resolved,25-07-2023,1
49,David,King,32,Female,Address_49,Omaha,19458794902,david.king@kag.com,Current,7544.54,30-01-2021,08-07-2023,49,06-01-2023,Transfer,2558.28,10102.82,18,49,29697.37,Personal,4.63,48,05-04-2021,Approved,49,MasterCard,9023.88,2786.09,139.3,04-06-2023,09-08-2023,2212,49,02-02-2023,Suggestion,Resolved,18-03-2023,1
50,Sandra,Gonzalez,21,Female,Address_50,Fort Worth,19458794903,sandra.gonzalez@kag.com,Current,1243.99,02-03-2022,23-05-2023,50,29-10-2023,Transfer,2404.27,3648.26,7,50,27950.34,Auto,7.1,60,26-12-2022,Closed,50,Visa,5180.67,1063.32,53.17,11-02-2023,23-06-2023,2445,50,04-10-2023,Praise,Resolved,04-02-2023,1
52,Sarah,King,18,Other,Address_52,Omaha,19458794905,sarah.king@kag.com,Current,2525.4,25-10-2015,27-06-2023,52,23-01-2023,Deposit,1795.56,4320.96,99,52,1320.58,Mortgage,5.5,48,25-11-2021,Approved,52,AMEX,9801.79,4369.68,218.48,29-11-2023,19-03-2023,2757,52,15-06-2023,Complaint,Pending,22-06-2023,1
53,Betty,Lewis,66,Male,Address_53,Denver,19458794906,betty.lewis@kag.com,Current,8349.99,03-06-2020,16-12-2023,53,10-11-2023,Withdrawal,3506.88,4843.11,96,53,28551.75,Mortgage,2.59,60,23-08-2020,Rejected,53,AMEX,8825.31,4434.35,221.72,05-08-2023,09-03-2023,2042,53,14-04-2023,Praise,Pending,07-12-2023,1
54,Timothy,Mitchell,32,Other,Address_54,Chicago,19458794907,timothy.mitchell@kag.com,Savings,6653.87,28-05-2014,14-08-2023,54,04-07-2023,Deposit,3433.5,3220.37,59,54,2206.99,Mortgage,2.28,12,12-12-2020,Approved,54,MasterCard,1662.19,3601.42,180.07,02-11-2023,16-06-2023,4735,54,17-11-2023,Praise,Resolved,06-02-2023,1
55,John,Campbell,41,Male,Address_55,Seattle,19458794908,john.campbell@kag.com,Savings,5639.51,24-01-2013,05-10-2023,55,12-08-2023,Transfer,2877.53,2761.98,65,55,48439.95,Mortgage,3.72,48,04-06-2020,Approved,55,AMEX,4451.64,4981.24,249.06,14-08-2023,29-06-2023,8927,55,31-03-2023,Praise,Pending,10-10-2023,1
56,Amanda,Gonzalez,69,Female,Address_56,Denver,19458794909,amanda.gonzalez@kag.com,Savings,8705.5,17-05-2007,26-08-2023,56,08-02-2023,Deposit,297.89,8407.61,97,56,16687.82,Auto,5.12,48,25-12-2022,Approved,56,MasterCard,8771.57,4130.99,206.55,08-04-2023,11-06-2023,8261,56,03-03-2023,Praise,Resolved,04-10-2023,1
57,Linda,Mitchell,48,Female,Address_57,Philadelphia,19458794910,linda.mitchell@kag.com,Current,9695.42,30-11-2022,04-04-2023,57,31-01-2023,Withdrawal,642.92,10338.34,12,57,26519.26,Mortgage,3.68,36,17-02-2020,Closed,57,MasterCard,5559.78,2479.94,124,05-07-2023,17-01-2023,2928,57,12-11-2023,Suggestion,Pending,27-02-2023,1
58,Timothy,Carter,37,Other,Address_58,Indianapolis,19458794911,timothy.carter@kag.com,Savings,9971.6,16-02-2021,26-11-2023,58,02-01-2023,Transfer,205.99,9765.61,45,58,21460.86,Personal,7.41,24,23-02-2021,Rejected,58,Visa,9315.29,3693.78,184.69,28-11-2023,26-04-2023,5456,58,21-04-2023,Suggestion,Pending,04-12-2023,1
59,Andrew,Lewis,27,Male,Address_59,San Diego,19458794912,andrew.lewis@kag.com,Current,6864.48,05-09-2012,16-07-2023,59,08-12-2023,Deposit,3595.39,3269.09,24,59,44787.58,Auto,5.88,24,28-09-2022,Rejected,59,AMEX,6365.93,479.28,23.96,14-06-2023,24-07-2023,3616,59,04-03-2023,Praise,Resolved,05-05-2023,1
61,Thomas,White,35,Female,Address_61,Colorado Springs,19458794914,thomas.white@kag.com,Current,8759.52,06-01-2009,30-05-2023,61,27-10-2023,Deposit,4775.36,13534.88,4,61,4351.01,Auto,2.92,24,07-10-2022,Approved,61,MasterCard,5051.49,4920.85,246.04,30-05-2023,30-11-2023,4132,61,11-10-2023,Praise,Resolved,02-01-2023,1
62,Margaret,Sanchez,51,Female,Address_62,Fort Worth,19458794915,margaret.sanchez@kag.com,Savings,6578.05,25-06-2004,21-05-2023,62,07-05-2023,Withdrawal,4762.12,1815.93,79,62,36869.53,Mortgage,6.45,36,06-04-2021,Approved,62,AMEX,1834.47,4285.04,214.25,23-06-2023,31-07-2023,8052,62,16-05-2023,Praise,Resolved,31-08-2023,1
64,Michelle,Miller,55,Male,Address_64,San Antonio,19458794917,michelle.miller@kag.com,Current,9330.41,09-11-2012,02-09-2023,64,16-03-2023,Withdrawal,2220.81,7109.6,24,64,7814.57,Mortgage,8.06,48,07-01-2021,Rejected,64,AMEX,2220.55,826.04,41.3,20-09-2023,09-03-2023,2892,64,21-07-2023,Suggestion,Pending,30-01-2023,1
65,Patricia,Gonzalez,33,Female,Address_65,New York,19458794918,patricia.gonzalez@kag.com,Savings,7501.74,17-07-2009,30-10-2023,65,05-11-2023,Deposit,1588.59,5913.15,23,65,20866.44,Personal,9.92,48,02-03-2020,Rejected,65,AMEX,8216.62,527.51,26.38,11-07-2023,08-11-2023,1801,65,30-07-2023,Praise,Pending,03-12-2023,1
66,Mary,Jones,41,Male,Address_66,Mesa,19458794919,mary.jones@kag.com,Savings,4583,11-02-2020,13-12-2023,66,17-03-2023,Transfer,1012.86,5595.86,89,66,49909.18,Mortgage,3.08,36,10-12-2021,Rejected,66,MasterCard,9313.17,2128.26,106.41,11-08-2023,14-11-2023,6734,66,09-07-2023,Complaint,Resolved,21-02-2023,1
67,Jennifer,Sanchez,56,Female,Address_67,Nashville,19458794920,jennifer.sanchez@kag.com,Savings,4599.46,04-10-2016,04-10-2023,67,16-12-2023,Transfer,1170.15,5769.61,49,67,18520.8,Auto,1.14,24,23-10-2021,Approved,67,AMEX,3075.82,190.61,9.53,26-04-2023,30-09-2023,466,67,10-01-2023,Praise,Pending,25-04-2023,1
69,Patricia,Williams,29,Other,Address_69,Las Vegas,19458794922,patricia.williams@kag.com,Current,3799.72,19-06-2013,07-02-2023,69,28-10-2023,Transfer,2656.44,6456.16,21,69,42462.4,Auto,9.32,60,14-11-2022,Approved,69,AMEX,7657.6,2925.25,146.26,03-04-2023,22-02-2023,71,69,09-02-2023,Suggestion,Resolved,21-05-2023,1
70,Mark,Miller,67,Female,Address_70,Boston,19458794923,mark.miller@kag.com,Current,1031.4,29-05-2020,08-02-2023,70,23-08-2023,Deposit,71.14,1102.54,70,70,43528.96,Auto,3.24,48,10-03-2021,Rejected,70,Visa,4900.65,2837.64,141.88,13-06-2023,03-03-2023,7405,70,26-11-2023,Complaint,Resolved,19-12-2023,1
71,Karen,Carter,59,Male,Address_71,San Antonio,19458794924,karen.carter@kag.com,Savings,5431.76,11-04-2020,13-06-2023,71,24-02-2023,Transfer,231.02,5200.74,22,71,17604.59,Mortgage,7.8,24,25-04-2022,Approved,71,AMEX,8291.94,2230.04,111.5,17-01-2023,19-10-2023,5695,71,02-03-2023,Suggestion,Resolved,23-05-2023,1
72,Sandra,Hill,24,Female,Address_72,San Francisco,19458794925,sandra.hill@kag.com,Savings,8860.06,25-12-2002,22-12-2023,72,18-07-2023,Withdrawal,2299.24,6560.82,75,72,15634.98,Personal,3.88,12,15-01-2022,Approved,72,Visa,3866.07,1689.29,84.46,21-05-2023,09-10-2023,6865,72,07-11-2023,Complaint,Resolved,06-09-2023,1
73,Amanda,Smith,53,Male,Address_73,Memphis,19458794926,amanda.smith@kag.com,Savings,5886.75,12-10-2018,24-09-2023,73,29-01-2023,Withdrawal,2222.97,3663.78,37,73,32716.79,Mortgage,4.52,12,17-03-2021,Closed,73,Visa,5748.09,2421.45,121.07,30-01-2023,01-10-2023,257,73,01-09-2023,Complaint,Resolved,03-05-2023,1
74,Kimberly,Carter,34,Other,Address_74,Baltimore,19458794927,kimberly.carter@kag.com,Current,7951.57,29-09-2010,10-03-2023,74,31-10-2023,Transfer,2033.74,9985.31,30,74,11053.75,Auto,9.53,12,05-10-2022,Rejected,74,AMEX,8505.91,2587.65,129.38,26-11-2023,25-07-2023,7360,74,23-04-2023,Praise,Pending,22-07-2023,1
76,Margaret,Nelson,21,Other,Address_76,Tucson,19458794929,margaret.nelson@kag.com,Current,6766.61,01-01-2005,17-08-2023,76,04-03-2023,Transfer,3518.75,3247.86,33,76,7925.84,Mortgage,7.53,12,27-03-2022,Rejected,76,MasterCard,6771.04,826.25,41.31,02-03-2023,06-02-2023,5136,76,11-10-2023,Suggestion,Pending,31-03-2023,1
77,Susan,Harris,54,Female,Address_77,San Antonio,19458794930,susan.harris@kag.com,Savings,884.02,21-03-2019,18-09-2023,77,29-05-2023,Transfer,546.01,1430.03,76,77,15932.98,Auto,5.95,36,08-08-2020,Rejected,77,AMEX,6816.02,2876.14,143.81,08-12-2023,01-08-2023,1868,77,02-08-2023,Praise,Pending,29-05-2023,1
78,Donald,Williams,50,Other,Address_78,Las Vegas,19458794931,donald.williams@kag.com,Savings,5607.93,15-10-2013,20-01-2023,78,09-11-2023,Withdrawal,1819.77,3788.16,27,78,15576.59,Personal,7.88,36,22-08-2022,Closed,78,MasterCard,4167.36,2895.65,144.78,17-07-2023,02-02-2023,2974,78,04-10-2023,Suggestion,Resolved,11-09-2023,1
