CustomerSK,Customer ID,First Name,Last Name,Age,Gender,City,Email,Segment_Label
35,37,Amanda,Campbell,33,Other,Mesa,amanda.campbell@kag.com,Low-Value/New
36,38,Michael,Allen,34,Other,El Paso,michael.allen@kag.com,Low-Value/New
37,39,Paul,Allen,45,Other,Albuquerque,paul.allen@kag.com,Mid-Value/Loyal
38,40,John,Jackson,56,Other,Jacksonville,john.jackson@kag.com,Low-Value/New
39,41,Charles,Williams,60,Other,Austin,charles.williams@kag.com,Mid-Value/Loyal
40,42,David,Martinez,66,Other,Kansas City,david.martinez@kag.com,Low-Value/New
41,43,Joshua,Flores,22,Other,Philadelphia,joshua.flores@kag.com,Mid-Value/Loyal
42,44,Karen,Campbell,18,Other,Fresno,karen.campbell@kag.com,Low-Value/New
43,45,Patricia,Adams,20,Other,Mesa,patricia.adams@kag.com,Mid-Value/Loyal
44,46,Matthew,Smith,65,Other,Atlanta,matthew.smith@kag.com,Low-Value/New
45,47,Susan,Lewis,41,Other,San Francisco,susan.lewis@kag.com,High-Value/Frequent
46,48,Stephanie,Roberts,46,Male,Omaha,stephanie.roberts@kag.com,Mid-Value/Loyal
47,49,David,King,32,Female,Omaha,david.king@kag.com,High-Value/Frequent
48,50,Sandra,Gonzalez,21,Female,Fort Worth,sandra.gonzalez@kag.com,Mid-Value/Loyal
49,52,Sarah,King,18,Other,Omaha,sarah.king@kag.com,Low-Value/New
50,53,Betty,Lewis,66,Male,Denver,betty.lewis@kag.com,Mid-Value/Loyal
51,54,Timothy,Mitchell,32,Other,Chicago,timothy.mitchell@kag.com,High-Value/Frequent
52,55,John,Campbell,41,Male,Seattle,john.campbell@kag.com,Mid-Value/Loyal
53,56,Amanda,Gonzalez,69,Female,Denver,amanda.gonzalez@kag.com,Low-Value/New
54,57,Linda,Mitchell,48,Female,Philadelphia,linda.mitchell@kag.com,Low-Value/New
55,58,Timothy,Carter,37,Other,Indianapolis,timothy.carter@kag.com,Low-Value/New
56,59,Andrew,Lewis,27,Male,San Diego,andrew.lewis@kag.com,Mid-Value/Loyal
57,61,Thomas,White,35,Female,Colorado Springs,thomas.white@kag.com,Mid-Value/Loyal
58,62,Margaret,Sanchez,51,Female,Fort Worth,margaret.sanchez@kag.com,High-Value/Frequent
59,64,Michelle,Miller,55,Male,San Antonio,michelle.miller@kag.com,Low-Value/New
60,65,Patricia,Gonzalez,33,Female,New York,patricia.gonzalez@kag.com,Mid-Value/Loyal
61,66,Mary,Jones,41,Male,Mesa,mary.jones@kag.com,Low-Value/New
62,67,Jennifer,Sanchez,56,Female,Nashville,jennifer.sanchez@kag.com,Mid-Value/Loyal
63,69,Patricia,Williams,29,Other,Las Vegas,patricia.williams@kag.com,Mid-Value/Loyal
64,70,Mark,Miller,67,Female,Boston,mark.miller@kag.com,Low-Value/New
65,71,Karen,Carter,59,Male,San Antonio,karen.carter@kag.com,Low-Value/New
66,72,Sandra,Hill,24,Female,San Francisco,sandra.hill@kag.com,Mid-Value/Loyal
67,73,Amanda,Smith,53,Male,Memphis,amanda.smith@kag.com,Low-Value/New
68,74,Kimberly,Carter,34,Other,Baltimore,kimberly.carter@kag.com,Mid-Value/Loyal
69,76,Margaret,Nelson,21,Other,Tucson,margaret.nelson@kag.com,High-Value/Frequent
70,77,Susan,Harris,54,Female,San Antonio,susan.harris@kag.com,Low-Value/New
71,78,Donald,Williams,50,Other,Las Vegas,donald.williams@kag.com,Mid-Value/Loyal
72,79,Deborah,Anderson,36,Female,Austin,deborah.anderson@kag.com,Mid-Value/Loyal
73,80,Joseph,Lewis,43,Other,Dallas,joseph.lewis@kag.com,Low-Value/New
74,81,Linda,Nelson,28,Female,Fort Worth,linda.nelson@kag.com,Low-Value/New
75,82,Susan,Young,48,Other,Sacramento,susan.young@kag.com,Mid-Value/Loyal
76,83,Daniel,Sanchez,18,Male,Houston,daniel.sanchez@kag.com,High-Value/Frequent
77,84,Michelle,Thomas,57,Male,Mesa,michelle.thomas@kag.com,High-Value/Frequent
78,85,Charles,Harris,53,Female,Louisville,charles.harris@kag.com,High-Value/Frequent
79,86,Jessica,Ramirez,46,Other,San Jose,jessica.ramirez@kag.com,High-Value/Frequent
80,87,Brian,Rodriguez,42,Other,El Paso,brian.rodriguez@kag.com,High-Value/Frequent
81,88,Karen,Smith,64,Male,Denver,karen.smith@kag.com,Mid-Value/Loyal
82,89,Timothy,Lewis,66,Other,Atlanta,timothy.lewis@kag.com,Low-Value/New
83,90,Nancy,Perez,35,Other,Colorado Springs,nancy.perez@kag.com,Low-Value/New
84,91,Sandra,Thomas,20,Female,Las Vegas,sandra.thomas@kag.com,High-Value/Frequent
85,92,Matthew,Green,35,Male,Indianapolis,matthew.green@kag.com,High-Value/Frequent
86,93,Brian,Baker,24,Other,Tucson,brian.baker@kag.com,Mid-Value/Loyal
87,94,Kenneth,Green,45,Other,Fort Worth,kenneth.green@kag.com,Low-Value/New
88,95,Mark,Miller,34,Female,Fresno,mark.miller@kag.com,High-Value/Frequent
89,96,Joseph,Wilson,42,Female,San Antonio,joseph.wilson@kag.com,High-Value/Frequent
90,97,Brian,Lewis,35,Female,Austin,brian.lewis@kag.com,Low-Value/New
91,98,James,Jackson,69,Female,Milwaukee,james.jackson@kag.com,Low-Value/New
92,99,Matthew,Jackson,57,Other,Memphis,matthew.jackson@kag.com,Low-Value/New
93,100,John,Johnson,60,Other,San Jose,john.johnson@kag.com,High-Value/Frequent
94,101,David,Green,20,Other,Milwaukee,david.green@kag.com,High-Value/Frequent
95,102,Nancy,Hall,42,Female,Los Angeles,nancy.hall@kag.com,Mid-Value/Loyal
96,103,James,Anderson,24,Other,Colorado Springs,james.anderson@kag.com,High-Value/Frequent
97,104,Amanda,Williams,64,Male,Charlotte,amanda.williams@kag.com,High-Value/Frequent
98,105,Linda,Hernandez,27,Male,Austin,linda.hernandez@kag.com,High-Value/Frequent
99,106,Nancy,Rivera,61,Other,Fresno,nancy.rivera@kag.com,High-Value/Frequent
100,107,William,Robinson,61,Female,Colorado Springs,william.robinson@kag.com,Low-Value/New
101,108,Thomas,Flores,68,Male,Houston,thomas.flores@kag.com,High-Value/Frequent
102,109,Linda,Moore,36,Other,Austin,linda.moore@kag.com,Mid-Value/Loyal
103,110,Andrew,Mitchell,32,Male,Memphis,andrew.mitchell@kag.com,Mid-Value/Loyal
104,111,Andrew,Johnson,38,Male,Los Angeles,andrew.johnson@kag.com,High-Value/Frequent
105,112,Steven,Young,38,Male,Indianapolis,steven.young@kag.com,High-Value/Frequent
106,113,Robert,Davis,54,Male,Colorado Springs,robert.davis@kag.com,Mid-Value/Loyal
107,114,Carol,Perez,45,Other,San Jose,carol.perez@kag.com,Mid-Value/Loyal
108,115,Joshua,Garcia,62,Male,Atlanta,joshua.garcia@kag.com,Mid-Value/Loyal
109,116,Kenneth,Lopez,49,Other,San Francisco,kenneth.lopez@kag.com,Mid-Value/Loyal
110,118,John,Flores,44,Male,Denver,john.flores@kag.com,Low-Value/New
111,119,David,Scott,40,Male,San Antonio,david.scott@kag.com,Low-Value/New
112,120,Linda,Anderson,27,Other,Kansas City,linda.anderson@kag.com,Mid-Value/Loyal
113,121,Barbara,Ramirez,57,Male,San Diego,barbara.ramirez@kag.com,High-Value/Frequent
114,123,Steven,Hall,23,Female,Atlanta,steven.hall@kag.com,Mid-Value/Loyal
115,124,Deborah,Moore,41,Male,Los Angeles,deborah.moore@kag.com,Mid-Value/Loyal
116,125,Daniel,Johnson,35,Female,Austin,daniel.johnson@kag.com,High-Value/Frequent
117,126,Nancy,Gonzalez,27,Other,Las Vegas,nancy.gonzalez@kag.com,High-Value/Frequent
118,127,Paul,Hall,32,Male,Philadelphia,paul.hall@kag.com,High-Value/Frequent
119,128,Andrew,Anderson,62,Male,Detroit,andrew.anderson@kag.com,Mid-Value/Loyal
120,129,Amanda,Martin,60,Female,San Antonio,amanda.martin@kag.com,Mid-Value/Loyal
121,130,Michelle,Lewis,51,Female,Colorado Springs,michelle.lewis@kag.com,Mid-Value/Loyal
122,131,Lisa,Adams,25,Male,Denver,lisa.adams@kag.com,Mid-Value/Loyal
123,133,Andrew,Williams,52,Female,Memphis,andrew.williams@kag.com,Low-Value/New
124,134,James,Jackson,44,Male,Colorado Springs,james.jackson@kag.com,High-Value/Frequent
125,135,Andrew,Williams,42,Female,Los Angeles,andrew.williams@kag.com,Low-Value/New
126,136,Paul,Wilson,20,Other,Denver,paul.wilson@kag.com,High-Value/Frequent
127,137,Timothy,Flores,38,Female,Houston,timothy.flores@kag.com,Mid-Value/Loyal
128,138,Susan,Brown,56,Male,Philadelphia,susan.brown@kag.com,High-Value/Frequent
129,139,Michael,Hernandez,49,Female,Atlanta,michael.hernandez@kag.com,High-Value/Frequent
130,140,James,Walker,67,Other,Louisville,james.walker@kag.com,Mid-Value/Loyal
131,141,Robert,Nelson,38,Male,Baltimore,robert.nelson@kag.com,Mid-Value/Loyal
132,142,Sandra,Young,26,Male,San Antonio,sandra.young@kag.com,Mid-Value/Loyal
133,143,Susan,Clark,67,Male,Dallas,susan.clark@kag.com,High-Value/Frequent
134,144,Joshua,Robinson,18,Male,Boston,joshua.robinson@kag.com,Mid-Value/Loyal
135,145,Anthony,Nelson,21,Other,Tucson,anthony.nelson@kag.com,High-Value/Frequent
136,146,David,Johnson,21,Male,New York,david.johnson@kag.com,High-Value/Frequent
137,147,Joseph,Carter,66,Other,Philadelphia,joseph.carter@kag.com,Mid-Value/Loyal
138,149,Sandra,Ramirez,51,Female,Jacksonville,sandra.ramirez@kag.com,High-Value/Frequent
139,150,Carol,Walker,44,Female,Louisville,carol.walker@kag.com,High-Value/Frequent
140,151,Richard,King,32,Male,Austin,richard.king@kag.com,High-Value/Frequent
141,152,Emily,Anderson,62,Male,Tucson,emily.anderson@kag.com,High-Value/Frequent
142,153,Joshua,Mitchell,49,Other,New York,joshua.mitchell@kag.com,Mid-Value/Loyal
143,154,Ronald,Harris,58,Female,San Jose,ronald.harris@kag.com,Mid-Value/Loyal
144,155,Emily,Scott,24,Male,Atlanta,emily.scott@kag.com,Low-Value/New
145,156,Patricia,Davis,61,Male,Oklahoma City,patricia.davis@kag.com,Mid-Value/Loyal
146,157,Ashley,Rodriguez,61,Other,New York,ashley.rodriguez@kag.com,High-Value/Frequent
147,158,Paul,Torres,31,Female,Chicago,paul.torres@kag.com,Mid-Value/Loyal
148,159,Daniel,Mitchell,40,Male,Seattle,daniel.mitchell@kag.com,High-Value/Frequent
149,160,Joshua,Hall,64,Male,Columbus,joshua.hall@kag.com,Mid-Value/Loyal
150,161,Brian,Hill,18,Male,Milwaukee,brian.hill@kag.com,High-Value/Frequent
151,162,Joseph,Young,49,Male,Portland,joseph.young@kag.com,High-Value/Frequent
152,163,Kevin,Taylor,58,Male,San Francisco,kevin.taylor@kag.com,Low-Value/New
153,164,Mark,Wright,43,Male,Memphis,mark.wright@kag.com,Mid-Value/Loyal
154,165,Margaret,Torres,65,Female,Mesa,margaret.torres@kag.com,Mid-Value/Loyal
155,166,Richard,Jackson,26,Other,Atlanta,richard.jackson@kag.com,Low-Value/New
156,167,Emily,Baker,33,Other,Detroit,emily.baker@kag.com,Mid-Value/Loyal
157,170,Betty,Ramirez,49,Other,Boston,betty.ramirez@kag.com,Low-Value/New
158,171,Mary,Rodriguez,27,Female,Los Angeles,mary.rodriguez@kag.com,Low-Value/New
159,173,Brian,Garcia,35,Female,Phoenix,brian.garcia@kag.com,Mid-Value/Loyal
160,174,Jennifer,Lewis,62,Male,Houston,jennifer.lewis@kag.com,Mid-Value/Loyal
161,175,Betty,Taylor,51,Male,Mesa,betty.taylor@kag.com,Mid-Value/Loyal
162,176,Betty,Thomas,46,Other,Philadelphia,betty.thomas@kag.com,Mid-Value/Loyal
163,177,Amanda,Thompson,62,Female,Nashville,amanda.thompson@kag.com,High-Value/Frequent
164,178,Amanda,Walker,41,Other,San Jose,amanda.walker@kag.com,High-Value/Frequent
165,180,Ashley,Lee,32,Female,Boston,ashley.lee@kag.com,High-Value/Frequent
166,181,William,Sanchez,20,Female,Detroit,william.sanchez@kag.com,Low-Value/New
167,182,Betty,Scott,48,Male,Colorado Springs,betty.scott@kag.com,High-Value/Frequent
168,183,Matthew,Adams,27,Other,Oklahoma City,matthew.adams@kag.com,High-Value/Frequent
169,184,Joshua,Torres,55,Male,Tucson,joshua.torres@kag.com,Mid-Value/Loyal
170,185,Steven,Perez,39,Female,Columbus,steven.perez@kag.com,High-Value/Frequent
171,186,James,Adams,31,Female,Mesa,james.adams@kag.com,Mid-Value/Loyal
172,187,Anthony,Lopez,26,Female,San Francisco,anthony.lopez@kag.com,Mid-Value/Loyal
173,188,Richard,Adams,35,Male,Nashville,richard.adams@kag.com,Low-Value/New
174,189,Kenneth,Gonzalez,25,Female,Indianapolis,kenneth.gonzalez@kag.com,Mid-Value/Loyal
175,190,Michael,Hernandez,55,Female,Indianapolis,michael.hernandez@kag.com,Low-Value/New
176,191,Joshua,Thomas,32,Other,Oklahoma City,joshua.thomas@kag.com,Mid-Value/Loyal
177,192,Jennifer,Davis,63,Other,Memphis,jennifer.davis@kag.com,High-Value/Frequent
178,193,Linda,Flores,32,Female,Louisville,linda.flores@kag.com,Mid-Value/Loyal
179,194,Anthony,Flores,69,Other,San Diego,anthony.flores@kag.com,High-Value/Frequent
180,195,David,Hall,23,Male,Las Vegas,david.hall@kag.com,Low-Value/New
181,196,Paul,Johnson,29,Other,Chicago,paul.johnson@kag.com,High-Value/Frequent
182,197,Steven,Robinson,59,Other,Boston,steven.robinson@kag.com,Low-Value/New
183,198,Carol,Robinson,36,Other,Denver,carol.robinson@kag.com,High-Value/Frequent
184,199,Amanda,Lopez,57,Other,Tucson,amanda.lopez@kag.com,Low-Value/New
185,200,Nancy,Martinez,22,Male,Los Angeles,nancy.martinez@kag.com,Mid-Value/Loyal
186,201,Joseph,Baker,44,Other,Charlotte,joseph.baker@kag.com,Low-Value/New
187,202,Emily,Hernandez,27,Female,Washington,emily.hernandez@kag.com,Mid-Value/Loyal
188,204,Nancy,Thomas,69,Other,Seattle,nancy.thomas@kag.com,Low-Value/New
189,205,Kenneth,Taylor,63,Female,Washington,kenneth.taylor@kag.com,Low-Value/New
190,206,Ronald,Sanchez,31,Male,Portland,ronald.sanchez@kag.com,Low-Value/New
191,207,Ronald,Johnson,51,Female,San Jose,ronald.johnson@kag.com,Mid-Value/Loyal
192,208,Barbara,Roberts,66,Female,Tucson,barbara.roberts@kag.com,Mid-Value/Loyal
193,209,Joshua,Lopez,32,Female,Phoenix,joshua.lopez@kag.com,Low-Value/New
194,210,Mary,Sanchez,46,Female,Detroit,mary.sanchez@kag.com,Mid-Value/Loyal
195,211,Michael,Thompson,43,Other,San Jose,michael.thompson@kag.com,Low-Value/New
196,212,Ronald,Moore,44,Other,Portland,ronald.moore@kag.com,Mid-Value/Loyal
197,213,Paul,Young,20,Other,Columbus,paul.young@kag.com,Low-Value/New
198,214,Ronald,Carter,20,Other,Las Vegas,ronald.carter@kag.com,Mid-Value/Loyal
199,215,Thomas,Nguyen,52,Male,Chicago,thomas.nguyen@kag.com,Mid-Value/Loyal
200,216,Ronald,Campbell,52,Other,Baltimore,ronald.campbell@kag.com,High-Value/Frequent
201,217,Mary,Williams,67,Other,Sacramento,mary.williams@kag.com,Mid-Value/Loyal
202,218,Mary,Nguyen,23,Male,Columbus,mary.nguyen@kag.com,High-Value/Frequent
203,219,Betty,Williams,31,Female,Fort Worth,betty.williams@kag.com,Low-Value/New
204,220,Daniel,Robinson,43,Other,Louisville,daniel.robinson@kag.com,Low-Value/New
205,221,Paul,Smith,20,Other,Memphis,paul.smith@kag.com,High-Value/Frequent
206,222,Emily,Robinson,50,Female,San Francisco,emily.robinson@kag.com,Low-Value/New
207,223,Steven,Hall,59,Other,Omaha,steven.hall@kag.com,High-Value/Frequent
208,224,James,Young,30,Female,Nashville,james.young@kag.com,High-Value/Frequent
209,225,Christopher,Ramirez,46,Female,El Paso,christopher.ramirez@kag.com,High-Value/Frequent
210,226,Mary,Lee,26,Female,Oklahoma City,mary.lee@kag.com,High-Value/Frequent
211,227,Amanda,Rivera,49,Other,Austin,amanda.rivera@kag.com,Low-Value/New
212,228,Sandra,Gonzalez,39,Female,Fresno,sandra.gonzalez@kag.com,Low-Value/New
213,230,Jennifer,Scott,51,Male,Jacksonville,jennifer.scott@kag.com,Mid-Value/Loyal
214,231,Emily,Miller,27,Female,Philadelphia,emily.miller@kag.com,Low-Value/New
215,232,Patricia,Perez,42,Other,Mesa,patricia.perez@kag.com,Mid-Value/Loyal
216,233,William,Martinez,29,Female,Las Vegas,william.martinez@kag.com,High-Value/Frequent
217,234,Thomas,Hill,68,Other,Fort Worth,thomas.hill@kag.com,High-Value/Frequent
218,235,Donna,Anderson,20,Other,El Paso,donna.anderson@kag.com,Mid-Value/Loyal
219,236,Nancy,Anderson,36,Male,Portland,nancy.anderson@kag.com,Low-Value/New
220,237,Robert,Brown,50,Female,Atlanta,robert.brown@kag.com,Mid-Value/Loyal
221,238,Kimberly,Young,64,Other,Philadelphia,kimberly.young@kag.com,High-Value/Frequent
222,239,Jennifer,Thompson,43,Male,New York,jennifer.thompson@kag.com,High-Value/Frequent
223,240,Lisa,Garcia,30,Other,Philadelphia,lisa.garcia@kag.com,Low-Value/New
224,241,William,White,24,Other,Washington,william.white@kag.com,High-Value/Frequent
225,242,Deborah,Martin,51,Male,Las Vegas,deborah.martin@kag.com,High-Value/Frequent
226,243,Jessica,Torres,39,Female,Boston,jessica.torres@kag.com,High-Value/Frequent
227,244,Steven,Martin,37,Male,Charlotte,steven.martin@kag.com,Low-Value/New
228,245,David,Lopez,60,Female,Detroit,david.lopez@kag.com,Mid-Value/Loyal
229,246,Jennifer,Allen,40,Other,San Diego,jennifer.allen@kag.com,Low-Value/New
230,247,Jessica,Ramirez,65,Other,Las Vegas,jessica.ramirez@kag.com,Mid-Value/Loyal
231,248,Mark,Davis,31,Male,Kansas City,mark.davis@kag.com,High-Value/Frequent
232,249,Michael,Smith,47,Male,Philadelphia,michael.smith@kag.com,Low-Value/New
233,250,Sarah,Torres,40,Male,Sacramento,sarah.torres@kag.com,Low-Value/New
234,251,Margaret,Perez,64,Other,New York,margaret.perez@kag.com,Low-Value/New
235,252,Christopher,Garcia,69,Female,Mesa,christopher.garcia@kag.com,High-Value/Frequent
236,253,Sandra,Lee,36,Male,Fort Worth,sandra.lee@kag.com,Mid-Value/Loyal
237,254,Michael,Young,56,Female,Kansas City,michael.young@kag.com,Mid-Value/Loyal
238,255,Christopher,Wright,58,Male,Austin,christopher.wright@kag.com,Low-Value/New
239,256,Sarah,Anderson,53,Male,Fort Worth,sarah.anderson@kag.com,Low-Value/New
240,258,John,Rivera,40,Male,San Antonio,john.rivera@kag.com,Low-Value/New
241,259,Kenneth,Roberts,27,Other,Austin,kenneth.roberts@kag.com,Mid-Value/Loyal
242,260,Steven,Mitchell,52,Other,Mesa,steven.mitchell@kag.com,High-Value/Frequent
243,262,Joshua,Harris,49,Other,Tucson,joshua.harris@kag.com,Low-Value/New
244,264,Michelle,Flores,50,Other,Seattle,michelle.flores@kag.com,Mid-Value/Loyal
245,265,James,Lewis,23,Other,Las Vegas,james.lewis@kag.com,High-Value/Frequent
246,266,William,Miller,22,Female,Dallas,william.miller@kag.com,Mid-Value/Loyal
247,267,Betty,Flores,32,Female,Milwaukee,betty.flores@kag.com,Mid-Value/Loyal
248,268,Matthew,Gonzalez,60,Other,Jacksonville,matthew.gonzalez@kag.com,Mid-Value/Loyal
249,269,Stephanie,Nguyen,69,Female,Los Angeles,stephanie.nguyen@kag.com,Low-Value/New
250,270,Daniel,Moore,42,Male,Kansas City,daniel.moore@kag.com,High-Value/Frequent
251,271,Donald,Johnson,30,Female,Charlotte,donald.johnson@kag.com,Low-Value/New
252,272,Ashley,Davis,23,Male,Chicago,ashley.davis@kag.com,Low-Value/New
253,273,Carol,Hernandez,54,Female,Milwaukee,carol.hernandez@kag.com,Low-Value/New
254,274,Andrew,Allen,19,Female,Philadelphia,andrew.allen@kag.com,Mid-Value/Loyal
255,275,John,Nguyen,34,Male,Chicago,john.nguyen@kag.com,High-Value/Frequent
256,276,Jessica,Mitchell,41,Male,Austin,jessica.mitchell@kag.com,Low-Value/New
257,277,Sandra,Clark,29,Other,Charlotte,sandra.clark@kag.com,Low-Value/New
258,278,Deborah,Martin,61,Female,Louisville,deborah.martin@kag.com,Mid-Value/Loyal
259,279,Ronald,Lopez,31,Male,Jacksonville,ronald.lopez@kag.com,Low-Value/New
260,280,Mary,Nelson,24,Other,Kansas City,mary.nelson@kag.com,High-Value/Frequent
261,281,James,Walker,43,Male,San Antonio,james.walker@kag.com,Low-Value/New
262,282,Deborah,Clark,49,Other,Charlotte,deborah.clark@kag.com,Mid-Value/Loyal
263,283,Barbara,Young,46,Other,Seattle,barbara.young@kag.com,Mid-Value/Loyal
264,285,Paul,Williams,56,Male,Las Vegas,paul.williams@kag.com,Mid-Value/Loyal
265,286,Emily,Hall,26,Female,Los Angeles,emily.hall@kag.com,Low-Value/New
266,287,David,Clark,31,Female,Omaha,david.clark@kag.com,Low-Value/New
267,288,Kenneth,Wright,34,Other,Oklahoma City,kenneth.wright@kag.com,High-Value/Frequent
268,289,Andrew,Walker,66,Male,Fresno,andrew.walker@kag.com,High-Value/Frequent
269,290,Christopher,Anderson,42,Female,Detroit,christopher.anderson@kag.com,Mid-Value/Loyal
270,291,Deborah,Thomas,47,Other,San Antonio,deborah.thomas@kag.com,Mid-Value/Loyal
271,292,Jessica,Gonzalez,62,Female,Kansas City,jessica.gonzalez@kag.com,High-Value/Frequent
272,293,Michael,Carter,46,Other,Baltimore,michael.carter@kag.com,Mid-Value/Loyal
273,294,Sarah,Wright,46,Female,Phoenix,sarah.wright@kag.com,High-Value/Frequent
274,295,Nancy,Hernandez,35,Male,Austin,nancy.hernandez@kag.com,Low-Value/New
275,296,Steven,Lee,48,Other,New York,steven.lee@kag.com,High-Value/Frequent
276,297,Nancy,Hernandez,36,Other,Fresno,nancy.hernandez@kag.com,High-Value/Frequent
277,298,William,Robinson,34,Female,New York,william.robinson@kag.com,Mid-Value/Loyal
278,299,Ronald,Mitchell,23,Female,Denver,ronald.mitchell@kag.com,High-Value/Frequent
279,300,Linda,Wright,29,Female,Los Angeles,linda.wright@kag.com,Low-Value/New
280,301,Margaret,Perez,55,Male,Nashville,margaret.perez@kag.com,High-Value/Frequent
281,302,Donna,Nguyen,20,Female,Oklahoma City,donna.nguyen@kag.com,Mid-Value/Loyal
282,303,Michelle,Walker,64,Female,El Paso,michelle.walker@kag.com,Low-Value/New
283,304,Sarah,Wilson,52,Male,Nashville,sarah.wilson@kag.com,Low-Value/New
284,305,Andrew,White,64,Female,Las Vegas,andrew.white@kag.com,Low-Value/New
285,306,Deborah,Roberts,50,Male,Houston,deborah.roberts@kag.com,Low-Value/New
286,307,Matthew,Carter,46,Male,Fort Worth,matthew.carter@kag.com,Mid-Value/Loyal
287,308,Andrew,Young,20,Female,Washington,andrew.young@kag.com,High-Value/Frequent
288,309,Matthew,Scott,22,Male,Oklahoma City,matthew.scott@kag.com,High-Value/Frequent
289,310,Mark,Young,31,Female,Seattle,mark.young@kag.com,High-Value/Frequent
290,311,Karen,Anderson,53,Male,New York,karen.anderson@kag.com,Mid-Value/Loyal
291,312,Melissa,Nelson,45,Other,Baltimore,melissa.nelson@kag.com,Mid-Value/Loyal
292,313,Karen,Wright,58,Female,Tucson,karen.wright@kag.com,Mid-Value/Loyal
293,316,Jessica,Jones,59,Other,Mesa,jessica.jones@kag.com,Low-Value/New
294,317,Kenneth,Lee,57,Other,Phoenix,kenneth.lee@kag.com,Mid-Value/Loyal
295,318,Margaret,Martinez,30,Female,Austin,margaret.martinez@kag.com,Low-Value/New
296,319,Steven,Jackson,19,Male,Las Vegas,steven.jackson@kag.com,High-Value/Frequent
297,320,Patricia,Harris,69,Female,Milwaukee,patricia.harris@kag.com,Low-Value/New
298,321,Steven,Brown,42,Female,San Jose,steven.brown@kag.com,Mid-Value/Loyal
299,322,Susan,Lewis,37,Male,Indianapolis,susan.lewis@kag.com,Mid-Value/Loyal
300,323,Charles,Jackson,24,Other,Las Vegas,charles.jackson@kag.com,Low-Value/New
301,324,Deborah,Nelson,28,Male,San Jose,deborah.nelson@kag.com,High-Value/Frequent
302,325,Sarah,Johnson,22,Other,Las Vegas,sarah.johnson@kag.com,High-Value/Frequent
303,326,Linda,Martinez,46,Female,Detroit,linda.martinez@kag.com,High-Value/Frequent
